12月13日 ( 土 ),,,
あべ しんぞう,,,
安倍 晋三総裁,,,
開始時間,候補者,演説場所,用務
11:30～,【山梨県】 堀内 のり子 （2区）,"甲州市役所前
 （ 甲州市塩山上於曽1085-1 ）",街頭演説会
12:30～,【山梨県】 宮川 典子 （1区）,JR甲府駅南口,街頭演説会
15:40～,【長野県】 小松 ゆたか （1区）,JR長野駅善光寺口,街頭演説会
16:45～,【長野県】 木内 ひとし （3区）,JR上田駅お城口,街頭演説会
18:30～,【東京都】 山田 みき （1区）,秋葉原駅電気街口（ガンダムカフェ前）,街頭演説会
たにがき さだかず,,,
谷垣 禎一幹事長,,,
開始時間,候補者,演説場所,用務
10:50～,【三重県】 島田 よしかず （2区）,"鈴鹿弁天山公園
 （ 鈴鹿市算所２丁目 ）",街頭演説会
12:55～,【三重県】 嶋田 こうじ （3区）,"近鉄桑名駅
 （ 桑名市大字東方97　 ）",街頭演説会
15:00～,【愛知県】 青山 周平 （12区）,"幸田町民会館つばきホール
 （ 額田郡幸田町大字大草字丸山60 ）",街頭演説会
16:00～,【愛知県】 八木 てつや （11区）,"名鉄豊田市駅ロータリー
 （ 豊田市西町 ）",街頭演説会
16:45～,【愛知県】 鈴木 じゅんじ （7区）,"窯神橋
 （ 瀬戸市栄町 ）",街頭演説会
18:00～,【愛知県】 池田 よしたか （3区）,"野並交差点前
 （ 名古屋市天白区野並 ）",街頭演説会
19:15～,【愛知県】 神田 けんじ （5区）,"ビックカメラ名古屋駅西店
 （ 名古屋市中村区椿町6−9 ）",街頭演説会
いなだ ともみ,,,
稲田 朋美政務調査会長,,,
開始時間,候補者,演説場所,用務
16:00～,【神奈川県】 やまぎわ 大志郎 （18区）,"溝の口駅キラリデッキ
 （ 川崎市高津区溝口2-1-1 ）",街頭演説会
18:00～,【神奈川県】 義家 ひろゆき （16区）,"本厚木駅前
 （ 厚木市泉町1-1-1 ）",街頭演説会
19:00～,【神奈川県】 義家 ひろゆき （16区）,"義家 ひろゆき選挙事務所前
 （ 本厚木市田村町9-32 ）",事務所激励
19:25～,【神奈川県】 義家 ひろゆき （16区）,イトーヨーカドー前,街頭演説会
いしば しげる,,,
石破 茂地方創生担当大臣,,,
開始時間,候補者,演説場所,用務
08:00～,【滋賀県】 うえの 賢一郎 （2区）,"賃貸館 南彦根店前
 （ 彦根市高宮町1608-1 ）",街頭演説会
08:45～,【滋賀県】 うえの 賢一郎 （2区）,"ガリバー彦根店駐車場
 （ 彦根市外町235-1 ）",街頭演説会
10:00～,【滋賀県】 大岡 としたか （1区）,JR湖西線・堅田駅前,街頭演説会
すが よしひで,,,
菅 義偉内閣官房長官,,,
開始時間,候補者,演説場所,用務
10:30～,【大分県】 穴見 陽一 （1区）,"トキハわさだタウン　フェスタ広場前
 （ 大分市玉沢字楠本755-1 ）",街頭演説会
11:10～,【大分県】 穴見 陽一 （1区）,"アミューズメント　ゼウス大分中央店前
 （ 大分市中央町1-3-2 ）",街頭演説会
14:30～,【東京都】 松島 みどり （14区）,"ララテラス南千住前
 （ 荒川区南千住4-7-2 ）",街頭演説会
15:45～,【神奈川県】 ふくだ 峰之 （8区）,東急青葉台駅ロータリー,街頭演説会
18:25～,【静岡県】 かつまた 孝明 （6区）,"サントムーン柿田川
 （ 駿東郡清水町玉川61−2 ）",街頭演説会
19:00～,【静岡県】 かつまた 孝明 （6区）,ＪＲ御殿場線・下土狩駅前,街頭演説会
しもむら はくぶん,,,
下村 博文文部科学大臣,,,
開始時間,候補者,演説場所,用務
15:00～,【埼玉県】 牧原 ひでき （5区）,大宮駅東口,街頭演説会
さとう つとむ,,,
佐藤 勉国会対策委員長,,,
開始時間,候補者,演説場所,用務
09:00～,【山形県】 かとう 鮎子 （3区）,西郷ＪＡ前,街頭演説会
10:00～,【山形県】 かとう 鮎子 （3区）,パル前,街頭演説会
11:00～,【山形県】 かとう 鮎子 （3区）,ヤマザワ櫛引店前,街頭演説会
12:00～,【山形県】 かとう 鮎子 （3区）,イオン三川店前,街頭演説会
やまたに えりこ,,,
山谷 えり子国家公安委員長,,,
開始時間,候補者,演説場所,用務
16:00～,【神奈川県】 義家 ひろゆき （16区）,"JAあつぎ南毛利支所
 （ 厚木市温水948-1 ）",個人演説会
17:00～,【神奈川県】 義家 ひろゆき （16区）,"厚木アーバンホテル
 （ 厚木市中町3-14-14 ）",個人演説会
17:30～,【神奈川県】 義家 ひろゆき （16区）,本厚木駅北口,街頭演説会
こいずみ しんじろう,,,
小泉 進次郎復興大臣政務官,,,
開始時間,候補者,演説場所,用務
09:30～,【山形県】 すずき のりかず （2区）,"ヤマザワ寒河江プラザ店前
 （ 寒河江市寒河江横道65-1 ）",街頭演説会
11:00～,【山形県】 すずき のりかず （2区）,"ヤマザワ南陽店前
 （ 南陽市郡山578 ）",街頭演説会
11:50～,【山形県】 すずき のりかず （2区）,"ヤマザワ花沢町店前
 （ 米沢市花沢町2710-1 ）",街頭演説会
15:00～,【神奈川県】 中山 のりひろ （9区）,小田急向ヶ丘遊園駅南口,街頭演説会
16:00～,【神奈川県】 義家 ひろゆき （16区）,小田急本厚木駅北口,街頭演説会
みはら じゅんこ,,,
三原 じゅん子女性局長,,,
開始時間,候補者,演説場所,用務
09:30～,【茨城県】 ながおか 桂子 （7区）,ＪＲ古河駅前東口,街頭演説会
10:40～,【茨城県】 ながおか 桂子 （7区）,"餃子房ちゃおず駐車場
 （ 結城市新福寺2-18-11 ）",街頭演説会
12:50～,【栃木県】 やな 和生 （3区）,"デニーズ大田原店前交差点
 （ 大田原市本町1-2960-26 ）",街頭演説会
13:20～,【栃木県】 やな 和生 （3区）,"スーパーオータニ 三島店
 （ 那須塩原市東三島5-89-1 ）",街頭演説会
15:00～,【埼玉県】 牧原 ひでき （5区）,大宮駅東口,街頭演説会
17:35～,【神奈川県】 中山 のりひろ （9区）,新百合ヶ丘駅北口,街頭演説会
18:50～,【神奈川県】 星野 つよし （12区）,ＪＲ藤沢駅北口デッキ,街頭演説会
たなはし やすふみ,,,
棚橋 泰文幹事長代理,,,
開始時間,候補者,演説場所,用務
12:00～,【北海道】 ほりい 学 （9区）,"堀井学事務所
 （ 苫小牧市若草町3-1-4 ）",事務所激励
12:50～,【北海道】 ほりい 学 （9区）,"暖中前
 （ 苫小牧市明野新町1丁目1 ）",街頭演説
13:30～,【北海道】 ほりい 学 （9区）,"イートアップ前
 （ 苫小牧市柳町1丁目5-14 ）",街頭演説
はやし よしまさ,,,
林 芳正前農林水産大臣,,,
開始時間,候補者,演説場所,用務
11:15～,【埼玉県】 牧原 ひでき （5区）,"JA馬宮
 （ さいたま市西区大字西遊馬231-1 ）",街頭演説会
13:00～,【埼玉県】 村井 ひでき （1区）,東武線　岩槻駅前,街頭演説会
14:30～,【埼玉県】 今野 ともひろ （11区）,高崎線　深谷駅前北口ロータリー,街頭演説会
かみかわ ようこ,,,
上川 陽子法務大臣,,,
開始時間,候補者,演説場所,用務
12:00～,【大阪府】 佐藤 ゆかり （11区）,"くずはモール
 （ 枚方市楠葉花園町15-1 ）",街頭演説会
もり まさこ,,,
森 まさこ前少子化担当大臣,,,
開始時間,候補者,演説場所,用務
11:35～,【秋田県】 みのり川 信英 （3区）,"株式会社 響屋前
 （ 大仙市長戸呂字ハサバ長根1-5 ）",街頭演説
12:10～,【秋田県】 みのり川 信英 （3区）,"大同衣料大曲工場前
 （ 大仙市花館字鶴田12 ）",街頭演説
12:20～,【秋田県】 みのり川 信英 （3区）,"ビフレ大曲店前
 （ 大仙市高関上郷字不動堂172-1 ）",街頭演説
17:00～,【福島県】 亀岡 よしたみ （1区）,"保原中央公民館前
 （ 伊達市保原町字宮下111-4 ）",街頭演説会
19:00～,【福島県】 亀岡 よしたみ （1区）,"まちなか広場前
 （ 福島市本町 ）",街頭演説会
12月12日 ( 金 ),,,
あべ しんぞう,,,
安倍 晋三総裁,,,
開始時間,候補者,演説場所,用務
10:50～,【山形県】 かとう 鮎子 （3区）,"イオン酒田南店前
 （ 酒田市あきほ町120-1 ）",街頭演説会
13:00～,【山形県】 すずき のりかず （2区）,さくらんぼ東根駅東口,街頭演説会
16:10～,【栃木県】 西川 こうや （2区）,JR今市駅前,街頭演説会
18:30～,【埼玉県】 村井 ひでき （1区）,浦和駅東口,街頭演説会
あそう たろう,,,
麻生 太郎副総理・財務大臣,,,
開始時間,候補者,演説場所,用務
13:00～,【兵庫県】 やまだ 賢司 （7区）,"阪急西宮ガーデンズ北側
 （ 西宮市高松町14-2 ）",街頭演説会
15:30～,【滋賀県】 むとう 貴也 （4区）,"水口センチュリーホテル
 （ 甲賀市水口町名坂170-1 ）",街頭演説会
16:00～,【滋賀県】 むとう 貴也 （4区）,"東近江市役所前
 （ 東近江市緑町10-5 ）",街頭演説会
19:00～,【愛知県】 今枝 宗一郎 （14区）,"豊川市文化会館
 （ 豊川市豊が丘町197 ）",総決起大会
こうむら まさひこ,,,
高村 正彦副総裁,,,
開始時間,候補者,演説場所,用務
17:00～,【大阪府】 推薦・北側 一雄 （16区）,"ホテル・アゴーラシージェンシー堺
 （ 堺市堺区戎島町4-45-1 ）",個人演説会
たにがき さだかず,,,
谷垣 禎一幹事長,,,
開始時間,候補者,演説場所,用務
12:30～,【岩手県】 藤原 たかし （4区）,"イトーヨーカドー花巻店前
 （ 花巻市下小舟渡118-1  ）",街頭演説会
16:00～,【栃木県】 やな 和生 （3区）,"那須塩原駅西口
 （ 那須塩原市大原 ）",街頭演説会
19:00～,【神奈川県】 ふくだ 峰之 （8区）,"青葉台駅
 （ 横浜市青葉区青葉台一丁目 ）",街頭演説会
にかい としひろ,,,
二階 俊博総務会長,,,
開始時間,候補者,演説場所,用務
10:00～,【大阪府】 左藤 章 （2区）,"西田辺交差点
 （ 阿倍野区昭和町５－１２ ）",街頭演説
10:20～,【大阪府】 左藤 章 （2区）,"地下鉄駒川中野駅前
 （ 東住吉区駒川３－２７－２５ ）",街頭演説
10:30～,【大阪府】 左藤 章 （2区）,駒川商店街,徒歩遊説
10:50～,【大阪府】 左藤 章 （2区）,"駒川商店街南側
 （ 東住吉区駒川５－２２－２０ ）",街頭演説
11:30～,【大阪府】 竹本 直一 （15区）,近鉄富田林駅北側ロータリー,街頭演説会
13:30～,【大阪府】 岡下 昌平 （17区）,"泉ヶ丘駅前
 （ 堺市南区茶山台１－２ ）",街頭演説会
19:00～,【和歌山県】 かど 博文 （1区）,"和歌山市太田小学校
 （ 和歌山市太田636 ）",個人演説会
19:30～,【和歌山県】 かど 博文 （1区）,"和歌山市ビッグ愛
 （ 和歌山市手平2-1-2 ）",個人演説会
もてぎ としみつ,,,
茂木 敏充選挙対策委員長,,,
開始時間,候補者,演説場所,用務
09:30～,【京都府】 宮崎 けんすけ （3区）,"伏見稲荷大社前
 （ 京都市伏見区深草藪之内町68 ）",街頭演説会
10:30～,【京都府】 安藤 ひろし （6区）,"城陽市堀井建設前
 （ 城陽市平川横道38-1 ）",街頭演説会
11:45～,【京都府】 うえなか 康司 （2区）,"百万遍交差点
 （ 京都市左京区田中門前町 ）",街頭演説会
14:00～,【大阪府】 大西 宏幸 （1区）,弁天町駅前,街頭演説会
14:40～,【大阪府】 大西 宏幸 （1区）,八幡屋商店街,徒歩遊説
15:55～,【大阪府】 長尾 たかし （14区）,近鉄八尾駅前,街頭演説会
17:50～,【大阪府】 谷川 とむ （19区）,南海泉佐野駅前ロータリー,街頭演説会
19:45～,【大阪府】 かみたに 昇 （18区）,"泉大津市民会館
 （ 泉大津市小松町1-60 ）",個人演説会
ふるや けいじ,,,
古屋 圭司拉致問題対策本部長,,,
開始時間,候補者,演説場所,用務
08:40～,【東京都】 土屋 正忠 （18区）,三鷹駅北口ロータリー,街頭演説会
13:30～,【新潟県】 斎藤 ひろあき （3区）,"五泉マリエール
 （ 五泉市赤海1074-1 ）",演説会
19:00～,【愛知県】 今枝 宗一郎 （14区）,"豊川文化会館
 （ 豊川市代田町1-20-4 ）",総決起大会
あまり あきら,,,
甘利 明経済再生担当大臣,,,
開始時間,候補者,演説場所,用務
13:40～,【沖縄県】 比嘉 なつみ （3区）,沖縄市ゴヤ十字路,街頭演説会
16:00～,【沖縄県】 コクバ 幸之助 （1区）,那覇市県民広場前,街頭演説会
いしば しげる,,,
石破 茂地方創生担当大臣,,,
開始時間,候補者,演説場所,用務
09:20～,【香川県】 せと 隆一 （2区）,"亀鶴公園駐車場
 （ さぬき市長尾名1673-1 ）",街頭演説会
10:15～,【香川県】 せと 隆一 （2区）,"高松国分寺ホール駐車場
 （ 高松市国分寺市新名430 ）",街頭演説会
13:00～,【広島県】 平口 ひろし （2区）,JR西広島駅前,街頭演説会
15:00～,【広島県】 こじま 敏文 （6区）,JR尾道駅前,街頭演説会
16:20～,【岡山県】 橋本 がく （4区）,"玉島市市民交流センター
 （ 倉敷市玉島阿賀崎1-10−1 ）",個人演説会
16:45～,【岡山県】 橋本 がく （4区）,"天満屋倉敷店
 （ 倉敷市阿知1-7-1 ）",街頭演説会
19:00～,【岡山県】 山下 たかし （2区）,"竜操中学校
 （ 岡山市中区赤田188−1 ）",個人演説会
かわむら たけお,,,
河村 建夫地方創生実行統合本部長,,,
開始時間,候補者,演説場所,用務
12:15～,【和歌山県】 かど 博文 （1区）,和歌山県庁前,街頭演説会
12:40～,【和歌山県】 かど 博文 （1区）,和歌山市役所,街頭演説会
19:30～,【大阪府】 かみたに 昇 （18区）,泉大津市民会館,個人演説会
すが よしひで,,,
菅 義偉内閣官房長官,,,
開始時間,候補者,演説場所,用務
11:00～,【秋田県】 かねだ 勝年 （2区）,阿仁前田駅前,街頭演説会
12:40～,【秋田県】 とがし 博之 （1区）,秋田駅西口,街頭演説会
13:00～,【秋田県】 とがし 博之 （1区）,"秋田県庁前
 （ 秋田市山王四丁目1-1 ）",街頭演説会
14:20～,【秋田県】 みのり川 信英 （3区）,"湯沢文化会館
 （ 湯沢市字沖鶴103-1 ）",個人演説会
14:45～,【秋田県】 みのり川 信英 （3区）,"旧ヤマダ電気店前
 （ 横手市赤坂学舘ノ下80-1 ）",街頭演説会
16:00～,【秋田県】 みのり川 信英 （3区）,"旧千畑役場前
 （ 美郷町土崎字上野乙170-1 ）",街頭演説会
17:00～,【秋田県】 みのり川 信英 （3区）,"ＪＡおばこ太田支所前
 （ 大仙市太田町横沢字久保関北78-2 ）",街頭演説会
18:00～,【秋田県】 みのり川 信英 （3区）,"大曲イーストモール
 （ 大曲市戸蒔字錨77-1 ）",街頭演説会
しもむら はくぶん,,,
下村 博文文部科学大臣,,,
開始時間,候補者,演説場所,用務
10:10～,【東京都】 若宮 けんじ （5区）,中目黒駅前,街頭演説会
11:15～,【東京都】 小田原 きよし （21区）,立川駅北口,街頭演説会
12:25～,【東京都】 木原 誠二 （20区）,清瀬駅北口,街頭演説会
13:00～,【東京都】 松本 洋平 （19区）,ひばりが丘駅南口,街頭演説会
18:20～,【山形県】 かとう 鮎子 （3区）,金山町,街頭演説会
19:20～,【山形県】 かとう 鮎子 （3区）,"新庄市民プラザ
 （ 新庄市大手町1-60 ）",個人演説会
たけした わたる,,,
竹下 亘復興大臣,,,
開始時間,候補者,演説場所,用務
10:20～,【兵庫県】 谷 公一 （5区）,"谷公一豊岡選挙事務所
 （ 豊岡市正法寺字宮下通599-1 ）",個人演説会
16:45～,【岡山県】 橋本 がく （4区）,"倉敷天満屋南口前
 （ 倉敷市阿知1-7-1 ）",街頭演説会
18:00～,【広島県】 平口 ひろし （2区）,"楠木会館
 （ 広島市西区大芝公園2-1 ）",個人演説会
18:50～,【広島県】 平口 ひろし （2区）,"西区民文化センター
 （ 広島市西区横川新町6-1 ）",個人演説会
ありむら はるこ,,,
有村 治子女性活躍担当大臣,,,
開始時間,候補者,演説場所,用務
18:40～,【石川県】 はせ 浩 （1区）,"金沢歌劇座
 （ 金沢市下本多6-27 ）",はせ浩総決起大会
やまたに えりこ,,,
山谷 えり子国家公安委員長,,,
開始時間,候補者,演説場所,用務
15:30～,【東京都】 小田原 きよし （21区）,高幡不動駅南口,街頭演説会
ほそだ ひろゆき,,,
細田 博之幹事長代行,,,
開始時間,候補者,演説場所,用務
10:30～,【大分県】 穴見 陽一 （1区）,"穴見陽一事務所
 （ 大分市大字宮崎867-18 ）",事務所激励
こいずみ しんじろう,,,
小泉 進次郎復興大臣政務官,,,
開始時間,候補者,演説場所,用務
09:15～,【北海道】 伊東 よしたか （7区）,"白糠漁協前
 （ 北海道白糠郡白糠町岬1-2-42 ）",街頭演説会
11:00～,【北海道】 伊東 よしたか （7区）,"厚岸漁協直売所前
 （ 北海道厚岸郡厚岸町港町5-3 ）",街頭演説会
12:30～,【北海道】 伊東 よしたか （7区）,"釧路市昭和ヤマダ電機前
 （ 北海道釧路市昭和中央3 ）",街頭演説会
19:00～,【鹿児島県】 みやじ 拓馬 （3区）,"ニシムタ伊集院店前
 （ 鹿児島県日置市伊集院町猪鹿倉802 ）",街頭演説会
みはら じゅんこ,,,
三原 じゅん子女性局長,,,
開始時間,候補者,演説場所,用務
12:00～,【大阪府】 谷川 とむ （19区）,貝塚イオン前,街頭演説会
13:10～,【大阪府】 かみたに 昇 （18区）,南海岸和田駅前（山側）,街頭演説会
13:35～,【大阪府】 かみたに 昇 （18区）,南海泉大津駅前（山側）,街頭演説会
13:40～,【大阪府】 岡下 昌平 （17区）,泉ヶ丘駅前,街頭演説会
13:45～,【大阪府】 かみたに 昇 （18区）,南海高石駅前（山側）,街頭演説会
15:50～,【大阪府】 長尾 たかし （14区）,近鉄八尾駅前,街頭演説会
17:15～,【大阪府】 北川 ともかつ （12区）,京阪香里園駅前,街頭演説会
のだ せいこ,,,
野田 聖子前総務会長 ,,,
開始時間,候補者,演説場所,用務
11:30～,【愛知県】 丹羽 ひでき （6区）,"丹羽秀樹選挙事務所
 （ 愛知県春日井市貴船町87 ）",事務所激励
13:40～,【愛知県】 東郷 てつや （2区）,"東郷てつや事務所
 （ 愛知県名古屋市千種区池下1-11-11 ）",事務所激励
15:40～,【愛知県】 くまだ 裕通 （1区）,"熊田裕通事務所
 （ 愛知県名古屋市北区志賀本通2-12 ）",事務所激励
19:00～,【三重県】 島田 よしかず （2区）,稲生公民館,個人演説会
19:15～,【三重県】 島田 よしかず （2区）,玉垣会館,個人演説会
19:30～,【三重県】 島田 よしかず （2区）,玉垣ふれあいセンター,個人演説会
たなはし やすふみ,,,
棚橋 泰文幹事長代理,,,
開始時間,候補者,演説場所,用務
11:30～,【北海道】 中村 ひろゆき （4区）,"長崎屋前
 （ 小樽市稲穂２丁目 ）",街頭演説会
12:40～,【北海道】 ふなはし 利実 （1区）,"ふなはし利実事務所
 （ 札幌市中央区北１条西5-2　興銀ﾋﾞﾙ7階 ）",事務所激励
はやし よしまさ,,,
林 芳正前農林水産大臣,,,
開始時間,候補者,演説場所,用務
18:30～,【兵庫県】 谷 公一 （5区）,"三田市商工会館　多目的ホール
 （ 三田市天神1-5-33 ）",個人演説会
19:30～,【兵庫県】 谷 公一 （5区）,"イナホール　小ホール
 （ 川辺郡猪名川町白金1-74-24 ）",個人演説会
もり まさこ,,,
森 まさこ前少子化担当大臣,,,
開始時間,候補者,演説場所,用務
18:30～,【福島県】 吉野 まさよし （5区）,四倉商工会館,個人演説会
19:00～,【福島県】 吉野 まさよし （5区）,いわき市金山集会場,個人演説会
いのくち くにこ,,,
猪口 邦子参議院議員,,,
開始時間,候補者,演説場所,用務
11:15～,【埼玉県】 今野 ともひろ （11区）,"ベイシア寄居店（男衾店西前）
 （ 大里郡寄居町大字富田1849-1 ）",街頭演説会
11:50～,【埼玉県】 今野 ともひろ （11区）,"ヤオコー寄居店（ヤオコー店南）
 （ 大里郡寄居町大字寄居1443-1 ）",街頭演説会
12月11日 ( 木 ),,,
あべ しんぞう,,,
安倍 晋三総裁,,,
開始時間,候補者,演説場所,用務
10:30～,【長崎県】 冨岡 勉 （1区）,"ハマクロス411（旧大丸前）
 （ 長崎市浜町4-11 ）",街頭演説会
12:55～,【佐賀県】 古川 康 （2区）,"JAさが三日月支所前
 （ 小城市三日月町長神田2339-1 ）",街頭演説会
14:10～,【佐賀県】 岩田 かずちか （1区）,"鳥栖市商工会館前
 （ 鳥栖市元町1380-5 ）",街頭演説会
16:00～,【熊本県】 木原 みのる （1区）,"マクドナルド・サンロード新市街店
 （ 熊本市中央区新市街6-10 ）",街頭演説会
17:20～,【鹿児島県】 みやじ 拓馬 （3区）,川内駅前広場,街頭演説会
あそう たろう,,,
麻生 太郎副総理・財務大臣,,,
開始時間,候補者,演説場所,用務
09:20～,【茨城県】 ながおか 桂子 （7区）,"JA北つくば結城支店駐車場
 （ 結城市新福寺4-13-3 ）",街頭演説会
11:40～,【千葉県】 そのうら 健太郎 （5区）,"行徳駅前南側
 （ 市川市行徳駅前1丁目付近 ）",街頭演説会
12:30～,【千葉県】 そのうら 健太郎 （5区）,"新浦安駅前ロータリー
 （ 浦安市入船１丁目１付近 ）",街頭演説会
15:20～,【静岡県】 井林 たつのり （2区）,"JAハイナン吉田支店
 （ 吉田町片岡2153 ）",決起大会
16:00～,【静岡県】 井林 たつのり （2区）,"焼津魚市場
 （ 焼津市城之腰269-9 ）",決起大会
たにがき さだかず,,,
谷垣 禎一幹事長,,,
開始時間,候補者,演説場所,用務
10:00～,【北海道】 今津 ひろし （6区）,"旭川商工会議所前
 （ 旭川市常盤通１丁目 ）",街頭演説会
12:30～,【北海道】 中村 ひろゆき （4区）,"小樽経済センタービル７階
 （ 小樽市稲穂２－２２－１ ）",個人演説会
14:30～,【北海道】 高木 ひろひさ （3区）,"西友清田店前
 （ 札幌市清田区平岡1条1- 1−3 ）",街頭演説会
15:30～,【北海道】 ふなはし 利実 （1区）,"札幌パルコ前
 （ 札幌市中央区南１条西3丁目 ）",街頭演説会
18:00～,【北海道】 まえだ 一男 （8区）,"ホテル函館ロイヤル
 （ 函館市大森町１６-９ ）",個人演説会
にかい としひろ,,,
二階 俊博総務会長,,,
開始時間,候補者,演説場所,用務
14:00～,【静岡県】 かつまた 孝明 （6区）,"沼津魚市場第一市場内
 （ 沼津市千本港町９６ ）",街頭演説会
18:00～,【愛知県】 エサキ 鐵磨 （10区）,尾張一宮駅ビル,演説会
19:00～,【愛知県】 いとう 忠彦 （8区）,"しあわせ村
 （ 東海市荒尾町西廻間２－１ ）",個人演説会
19:30～,【愛知県】 いとう 忠彦 （8区）,"知多市体育館
 （ 知多市緑町５ ）",個人演説会
いなだ ともみ,,,
稲田 朋美政務調査会長,,,
開始時間,候補者,演説場所,用務
12:50～,【沖縄県】 ニシメ 恒三郎 （4区）,イオンタウン一日橋店前,街頭演説会
もてぎ としみつ,,,
茂木 敏充選挙対策委員長,,,
開始時間,候補者,演説場所,用務
18:40～,【奈良県】 小林 しげき （1区）,近鉄奈良駅,街頭演説会
19:05～,【奈良県】 小林 しげき （1区）,"鼓阪小学校
 （ 奈良市雑司町97 ）",個人演説会
19:40～,【奈良県】 小林 しげき （1区）,"南部公民館　都南中学校区
 （ 奈良市山町27-1 ）",個人演説会
おおしま ただもり,,,
大島 理森復興加速化本部長,,,
開始時間,候補者,演説場所,用務
09:15～,【大阪府】 佐藤 ゆかり （11区）,"枚方市駅南口ロータリー
 （ 枚方市岡東町19-14 ）",街頭演説会
ふるや けいじ,,,
古屋 圭司拉致問題対策本部長,,,
開始時間,候補者,演説場所,用務
14:15～,【大阪府】 長尾 たかし （14区）,ＪＲ八尾駅前,街頭演説会
15:00～,【大阪府】 長尾 たかし （14区）,近鉄古市駅前,街頭演説会
あまり あきら,,,
甘利 明経済再生担当大臣,,,
開始時間,候補者,演説場所,用務
10:45～,【滋賀県】 大岡 としたか （1区）,石山駅前,街頭演説会
19:00～,【香川県】 平井 たくや （1区）,高松市サンポートホール,総決起大会
いしば しげる,,,
石破 茂地方創生担当大臣,,,
開始時間,候補者,演説場所,用務
09:00～,【福島県】 かんけ 一郎 （4区）,"菅家一郎選挙事務所
 （ 会津若松市町北町上荒久田村北122 ）",街頭演説会
