北海道4農林水産副大臣,中村 裕之なかむら ひろゆき3,https://twitter.com/nakamurahiro3
北海道5内閣委員会特別委）地方創生特別委）東日本大震災復興,和田 義明わだ よしあき2,https://twitter.com/ywada_hokkaido5
北海道7農林水産委員会特別委）沖縄・北方問題特別委）地方創生,伊東 良孝いとう よしたか4,empty
北海道9国土交通委員会特別委）災害対策特別委）北朝鮮による拉致問題,堀井 学ほりい まなぶ3,https://twitter.com/horiimanabu
北海道12農林水産副大臣,武部 新たけべ あらた3,https://twitter.com/takebearata
北海道10農林水産委員会特別委）沖縄・北方問題,稲津 久いなつ ひさし4,https://twitter.com/InatsuHisashi
北海道1憲法審査会国土交通委員会総務委員会新,道下 大樹みちした だいき1,https://twitter.com/michishitadaiki
北海道2環境委員会元,松木 謙公まつき けんこう5,https://twitter.com/kenkou64865187
北海道3国土交通委員会国家基本政策委員会政治倫理審査会特別委）原子力問題調査,荒井 聰あらい さとし8,https://twitter.com/satoshisatoshia
北海道6農林水産委員会特別委）沖縄・北方問題,佐々木 隆博ささき たかひろ4,https://twitter.com/sasaki_stop_tpp
北海道8予算委員会経済産業委員会特別委）原子力問題調査,逢坂 誠二おおさか せいじ4,https://twitter.com/seiji_ohsaka
北海道11農林水産委員会特別委）沖縄・北方問題新,石川 香織いしかわ かおり1■,https://twitter.com/ishikawakaori11
比)北海道総務大臣政務官総務委員会,渡辺 孝一わたなべ こういち3,empty
比)北海道外務副大臣,鈴木 貴子すずき たかこ3■,https://twitter.com/_SuzukiTakako_
比)北海道財務金融委員会特別委）北朝鮮による拉致問題特別委）東日本大震災復興元,船橋 利実ふなはし としみつ2,https://twitter.com/t_funahashi
比)北海道議院運営委員会特別委）沖縄・北方問題,佐藤 英道さとう ひでみち3,https://twitter.com/hidemichisato
比)北海道法務委員会決算行政監視委員会特別委）災害対策新,池田 真紀いけだ まき1■,https://twitter.com/ikemakihonki
比)北海道農林水産委員会総務委員会特別委）災害対策新,神谷 裕かみや ひろし1,empty
比)北海道経済産業委員会特別委）科学技術・イノベーション推進元,山岡 達丸やまおか たつまる2,https://twitter.com/tatumaru1979
比)北海道安全保障委員会特別委）科学技術・イノベーション推進元,山崎 摩耶やまざき まや2■,https://twitter.com/YamazakiMaya
青森1法務副大臣,津島 淳つしま じゅん3,https://twitter.com/tsushimajun
青森2,大島 理森おおしま ただもり12,https://twitter.com/tadamori_oshima
青森3国土交通大臣政務官国土交通委員会新,木村 次郎きむら じろう1,https://twitter.com/jiro_k_tsugaru
岩手1法務委員会財務金融委員会特別委）東日本大震災復興,階 猛しな たけし5,https://twitter.com/shinatakeshi
岩手3懲罰委員会,小沢 一郎おざわ いちろう17,https://twitter.com/ozawa_jimusho
岩手2財務大臣 内閣府特命担当大臣（金融）デフレ脱却担当,鈴木 俊一すずき しゅんいち9,empty
宮城1国土交通委員会特別委）原子力問題調査,土井 亨どい とおる4,https://twitter.com/doitooru812
宮城2憲法審査会予算委員会,秋葉 賢也あきば けんや6,https://twitter.com/akibakenya
宮城3経済産業委員会特別委）科学技術・イノベーション推進,西村 明宏にしむら あきひろ5,empty
宮城4外務委員会特別委）消費者問題特別委）東日本大震災復興,伊藤 信太郎いとう しんたろう6,https://twitter.com/ShintaroIto205
宮城6国家基本政策委員会情報監視審査会,小野寺 五典おのでら いつのり6,https://twitter.com/itsunori510
宮城5懲罰委員会,安住 淳あずみ じゅん8,empty
秋田1復興副大臣,冨樫 博之とがし ひろゆき3,https://twitter.com/hiroyukitogash
秋田2予算委員会,金田 勝年かねだ かつとし4,empty
秋田3文部科学委員会国土交通委員会国家基本政策委員会決算行政監視委員会議院運営委員会政治倫理審査会,御法川 信英みのりかわ のぶひで5,https://twitter.com/minorikawa_nobu
山形1懲罰委員会,遠藤 利明えんどう としあき8,https://twitter.com/Team_e_toshiaki
山形2憲法審査会外務委員会国土交通委員会農林水産委員会総務委員会議院運営委員会政治倫理審査会特別委）災害対策特別委）地方創生,鈴木 憲和すずき のりかず3,empty
山形3国土交通大臣政務官国土交通委員会,加藤 鮎子かとう あゆこ2■,https://twitter.com/katoayuko_and_s
福島2予算委員会特別委）東日本大震災復興,根本 匠ねもと たくみ8,empty
福島4国土交通委員会環境委員会特別委）政治倫理の確立・選挙制度特別委）東日本大震災復興,菅家 一郎かんけ いちろう3,https://twitter.com/kanke_ichirou
福島5法務委員会特別委）原子力問題調査,吉野 正芳よしの まさよし7,empty
福島1農林水産委員会特別委）東日本大震災復興,金子 恵美かねこ えみ2■,https://twitter.com/kaneko_emi_
福島3予算委員会内閣委員会特別委）東日本大震災復興,玄葉 光一郎げんば こういちろう8,empty
比)東北憲法審査会安全保障委員会特別委）原子力問題調査,江渡 聡徳えと あきのり6,https://twitter.com/ETO_Akinori
比)東北文部科学委員会特別委）沖縄・北方問題,亀岡 偉民かめおか よしたみ3,https://twitter.com/kameokayositami
比)東北外務大臣政務官外務委員会新,上杉 謙太郎うえすぎ けんたろう1,empty
比)東北厚生労働委員会特別委）政治倫理の確立・選挙制度,高橋 比奈子たかはし ひなこ3■,https://twitter.com/takahina7777
比)東北予算委員会法務委員会内閣委員会特別委）東日本大震災復興,藤原 崇ふじわら たかし3,https://twitter.com/iwate_fujiwara
比)東北国家基本政策委員会政治倫理審査会特別委）政治倫理の確立・選挙制度,井上 義久いのうえ よしひさ8,empty
比)東北外務委員会特別委）東日本大震災復興,小熊 慎司おぐま しんじ3,https://twitter.com/oguma_shinji
比)東北外務委員会農林水産委員会特別委）科学技術・イノベーション推進新,緑川 貴士みどりかわ たかし1,https://twitter.com/green_river15t
比)東北総務委員会特別委）東日本大震災復興新,岡本 章子おかもと あきこ1■,https://twitter.com/okamotoakiko
比)東北経済産業委員会特別委）原子力問題調査特別委）東日本大震災復興元,山崎 誠やまざき まこと2,https://twitter.com/yamazakimakoto
比)東北外務委員会特別委）東日本大震災復興元,阿久津 幸彦あくつ ゆきひこ4,https://twitter.com/akutsu0626
比)東北法務委員会文部科学委員会特別委）地方創生,寺田 学てらた まなぶ4,https://twitter.com/teratamanabu/
比)東北国土交通委員会特別委）東日本大震災復興,高橋 千鶴子たかはし ちづこ6■,https://twitter.com/chiduko916
茨城1決算行政監視委員会特別委）政治倫理の確立・選挙制度特別委）原子力問題調査,田所 嘉徳たどころ よしのり3,https://twitter.com/tadokoro_yoshi
茨城2懲罰委員会,額賀 福志郎ぬかが ふくしろう12,empty
茨城3法務委員会特別委）政治倫理の確立・選挙制度,葉梨 康弘はなし やすひろ5,empty
茨城4国家基本政策委員会,梶山 弘志かじやま ひろし7,https://twitter.com/kajiyamahiroshi
茨城5文部科学委員会経済産業委員会特別委）科学技術・イノベーション推進特別委）原子力問題調査,石川 昭政いしかわ あきまさ3,https://twitter.com/iakimasa1
茨城6法務委員会厚生労働委員会特別委）東日本大震災復興新,国光 文乃くにみつ あやの1■,https://twitter.com/ayano_kunimitsu
茨城7国家基本政策委員会,中村 喜四郎なかむら きしろう14,https://twitter.com/KishiroNakamura
栃木1憲法審査会文部科学委員会特別委）消費者問題,船田 元ふなだ はじめ12,empty
栃木3外務委員会国土交通委員会特別委）科学技術・イノベーション推進特別委）原子力問題調査,簗 和生やな かずお3,empty
栃木4国家基本政策委員会,佐藤 勉さとう つとむ8,empty
栃木5外務大臣,茂木 敏充もてぎ としみつ9,https://twitter.com/moteging
栃木2懲罰委員会,福田 昭夫ふくだ あきお5,empty
群馬1文部科学委員会外務委員会特別委）沖縄・北方問題特別委）科学技術・イノベーション推進,尾身 朝子おみ あさこ2■,empty
群馬2憲法審査会財務金融委員会厚生労働委員会安全保障委員会農林水産委員会議院運営委員会政治倫理審査会特別委）沖縄・北方問題特別委）政治倫理の確立・選挙制度,井野 俊郎いの としろう3,empty
群馬3経済産業委員会特別委）沖縄・北方問題,笹川 博義ささがわ ひろよし3,empty
群馬4経済産業委員会政治倫理審査会特別委）地方創生,福田 達夫ふくだ たつお3,https://twitter.com/TatsuoFukuda
群馬5文部科学委員会特別委）科学技術・イノベーション推進,小渕 優子おぶち ゆうこ7■,empty
埼玉1憲法審査会予算委員会厚生労働委員会農林水産委員会政治倫理審査会特別委）政治倫理の確立・選挙制度,村井 英樹むらい ひでき3,https://twitter.com/muraihideki
埼玉2憲法審査会外務委員会,新藤 義孝しんどう よしたか7,https://twitter.com/shindo_y
埼玉3内閣府副大臣,黄川田 仁志きかわだ ひとし3,https://twitter.com/kikawadahitoshi
埼玉4環境大臣政務官 内閣府大臣政務官環境委員会新,穂坂 泰ほさか やすし1,https://twitter.com/Hosaka_saitama4
埼玉7予算委員会文部科学委員会経済産業委員会特別委）災害対策,神山 佐市かみやま さいち4,https://twitter.com/KAMIYAMA_SAICHI
埼玉8憲法審査会文部科学委員会国家基本政策委員会情報監視審査会,柴山 昌彦しばやま まさひこ6,https://twitter.com/shiba_masa
埼玉9憲法審査会法務委員会安全保障委員会特別委）政治倫理の確立・選挙制度,大塚 拓おおつか たく4,empty
埼玉10国家基本政策委員会,山口 泰明やまぐち たいめい7,https://twitter.com/taimei1
埼玉11財務金融委員会特別委）消費者問題特別委）科学技術・イノベーション推進,小泉 龍司こいずみ りゅうじ6,empty
埼玉12法務委員会農林水産委員会特別委）原子力問題調査,野中 厚のなか あつし3,https://twitter.com/nonakajimusho
埼玉13環境委員会特別委）消費者問題,土屋 品子つちや しなこ7■,https://twitter.com/shinako_jimusho
埼玉14厚生労働委員会特別委）北朝鮮による拉致問題,三ッ林 裕巳みつばやし ひろみ3,https://twitter.com/hiromitsubayasi
埼玉15財務金融委員会国土交通委員会決算行政監視委員会,田中 良生たなか りょうせい4,https://twitter.com/Tanaka_Ryosei
埼玉5国家基本政策委員会,枝野 幸男えだの ゆきお9,https://twitter.com/edanoyukio0531
埼玉6厚生労働委員会情報監視審査会,大島 敦おおしま あつし7,empty
比)北関東外務委員会決算行政監視委員会特別委）災害対策,中根 一幸なかね かずゆき4,empty
比)北関東内閣委員会特別委）消費者問題,永岡 桂子ながおか けいこ5■,https://twitter.com/keiko_nagaoka
比)北関東環境委員会内閣委員会特別委）消費者問題,牧原 秀樹まきはら ひでき4,https://twitter.com/hmakihara
比)北関東法務委員会外務委員会特別委）地方創生特別委）東日本大震災復興新,中曽根 康隆なかそね やすたか1,https://twitter.com/yasutaka_nksn
比)北関東厚生労働委員会総務委員会特別委）地方創生特別委）消費者問題新,佐藤 明男さとう あきお1,empty
比)北関東厚生労働委員会環境委員会特別委）政治倫理の確立・選挙制度特別委）消費者問題新,百武 公親ひゃくたけ きみちか1,empty
比)北関東法務委員会経済産業委員会特別委）政治倫理の確立・選挙制度特別委）東日本大震災復興新,神田 裕かんだ ゆたか1,empty
比)北関東国家基本政策委員会,石井 啓一いしい けいいち9,empty
比)北関東国土交通委員会特別委）災害対策特別委）科学技術・イノベーション推進,岡本 三成おかもと みつなり3,https://twitter.com/OkamotoOffice
比)北関東財務金融委員会特別委）地方創生新,長谷川 嘉一はせがわ かいち1,https://twitter.com/HasegawaKaichi
比)北関東厚生労働委員会外務委員会特別委）東日本大震災復興新,山川 百合子やまかわ ゆりこ1■,https://twitter.com/yamakawa_yuriko
比)北関東環境委員会特別委）政治倫理の確立・選挙制度特別委）消費者問題新,堀越 啓仁ほりこし  けいにん1,https://twitter.com/horikoshikeinin
比)北関東内閣委員会特別委）消費者問題新,大河原 雅子おおかわら まさこ1■,https://twitter.com/Waku2_ookawara
比)北関東総務委員会議院運営委員会特別委）災害対策特別委）政治倫理の確立・選挙制度新,高木 錬太郎たかぎ れんたろう1,https://twitter.com/takagirentaro
比)北関東内閣委員会決算行政監視委員会特別委）地方創生新,森田 俊和もりた としかず1,https://twitter.com/mori_morita
比)北関東外務委員会特別委）消費者問題新,青山 大人あおやま やまと1,https://twitter.com/aoyamayamato
比)北関東国土交通委員会特別委）災害対策,小宮山 泰子こみやま やすこ6■,https://twitter.com/@komiyama_yasko
比)北関東経済産業委員会議院運営委員会特別委）原子力問題調査新,浅野 哲あさの さとし1,https://twitter.com/Asano__Satoshi
比)北関東内閣委員会議院運営委員会特別委）政治倫理の確立・選挙制度,塩川 鉄也しおかわ てつや7,https://twitter.com/ShiokawaTetsuya
東京2外務委員会経済産業委員会特別委）政治倫理の確立・選挙制度,辻 清人つじ きよと3,https://twitter.com/tujikiyoto
東京3環境委員会,石原 宏高いしはら ひろたか4,https://twitter.com/ishiharahirotak
東京4内閣委員会特別委）災害対策,平 将明たいら まさあき5,https://twitter.com/TAIRAMASAAKI
東京5国際博覧会担当 共生社会担当 まち・ひと・しごと創生担当 内閣府特命担当大臣（消費者及び食品安全　クールジャパン戦略　知的財産戦略）,若宮 健嗣わかみや けんじ4,https://twitter.com/wakamiya7788
東京8懲罰委員会,石原 伸晃いしはら のぶてる10,https://twitter.com/IshiharaNobu
東京10外務委員会特別委）科学技術・イノベーション推進特別委）原子力問題調査,鈴木 隼人すずき はやと2,https://twitter.com/HYT4ALL
東京11国家基本政策委員会,下村 博文しもむら はくぶん8,empty
東京13懲罰委員会特別委）東日本大震災復興,鴨下 一郎かもした いちろう9,https://twitter.com/Dr_Kamo
東京14外務委員会特別委）科学技術・イノベーション推進,松島 みどりまつしま みどり6■,https://twitter.com/matusimamidori
東京16国土交通委員会特別委）沖縄・北方問題,大西 英男おおにし ひでお3,https://twitter.com/0024hideo
東京17予算委員会,平沢 勝栄ひらさわ かつえい8,https://twitter.com/katsueihirasawa
東京19財務金融委員会経済産業委員会農林水産委員会内閣委員会議院運営委員会政治倫理審査会特別委）地方創生,松本 洋平まつもと ようへい5,https://twitter.com/matsumoto_yohei
東京20内閣官房副長官 内閣総理大臣補佐官（国家安全保障に関する重要政策担当）,木原 誠二きはら せいじ3,https://twitter.com/kihara_seiji
東京21憲法審査会安全保障委員会,長島 昭久ながしま あきひさ6,https://twitter.com/nagashima21
東京22予算委員会特別委）消費者問題特別委）東日本大震災復興,伊藤 達也いとう たつや8,https://twitter.com/tatsuyaito0501
東京23予算委員会総務委員会特別委）消費者問題,小倉 將信おぐら まさのぶ3,https://twitter.com/masanobu_ogura
東京24経済産業大臣 産業競争力担当 ロシア経済分野協力担当 原子力経済被害担当 内閣府特命担当大臣（原子力損害賠償・廃炉等支援機構）,萩生田 光一はぎうだ こういち5,empty
東京25内閣委員会,井上 信治いのうえ しんじ6,empty
東京12懲罰委員会情報監視審査会,太田 昭宏おおた あきひろ8,https://twitter.com/teamohta
東京1財務金融委員会懲罰委員会元,海江田 万里かいえだ ばんり7,https://twitter.com/banrikaieda
東京6経済産業委員会特別委）政治倫理の確立・選挙制度,落合 貴之おちあい たかゆき3,https://twitter.com/ochiaitakayuki
東京7憲法審査会厚生労働委員会,長妻 昭ながつま あきら7,https://twitter.com/nagatsumaakira
東京18経済産業委員会特別委）原子力問題調査,菅 直人かん なおと13,https://twitter.com/NaotoKan
東京15決算行政監視委員会,秋元 司あきもと つかさ3,https://twitter.com/akimoto_tsukasa
比)東京都財務金融委員会厚生労働委員会特別委）北朝鮮による拉致問題,山田 美樹やまだ みき3■,https://twitter.com/yamada_miki
比)東京都財務金融委員会,越智 隆雄おち たかお4,https://twitter.com/ochitakao
比)東京都総務委員会特別委）災害対策,松本 文明まつもと ふみあき4,https://twitter.com/Matsumoto_7ku
比)東京都外務副大臣,小田原 潔おだわら きよし3,https://twitter.com/odawarakiyoshi
比)東京都厚生労働委員会総務委員会特別委）政治倫理の確立・選挙制度特別委）東日本大震災復興新,安藤 高夫あんどう たかお1,https://twitter.com/takaoando1959
比)東京都国土交通委員会内閣委員会特別委）災害対策新,高木 啓たかぎ けい1,empty
比)東京都厚生労働委員会経済産業委員会特別委）東日本大震災復興,高木 美智代たかぎ みちよ6■,empty
比)東京都決算行政監視委員会政治倫理審査会,高木 陽介たかぎ ようすけ8,empty
比)東京都決算行政監視委員会特別委）政治倫理の確立・選挙制度,手塚 仁雄てづか よしお7,https://twitter.com/t440_com
比)東京都財務金融委員会政治倫理審査会特別委）科学技術・イノベーション推進元,末松 義規すえまつ よしのり6,https://twitter.com/9999suematsu
比)東京都憲法審査会法務委員会総務委員会元,山花 郁夫やまはな いくお4,https://twitter.com/yamahanaikuo
比)東京都国土交通委員会議院運営委員会特別委）東日本大震災復興新,伊藤 俊輔いとう しゅんすけ1,https://twitter.com/shun76450
比)東京都決算行政監視委員会特別委）北朝鮮による拉致問題元,松原 仁まつばら じん7,https://twitter.com/matsubarajin731
比)東京都総務委員会繰,松尾 明弘まつお あきひろ1,https://twitter.com/matsuo_akihiro
比)東京都経済産業委員会特別委）北朝鮮による拉致問題,笠井 亮かさい あきら5,https://twitter.com/akibacsi
比)東京都予算委員会厚生労働委員会決算行政監視委員会,宮本 徹みやもと とおる2,https://twitter.com/miyamototooru
比)東京都安全保障委員会,柿沢 未途かきざわ みと4,https://twitter.com/310kakizawa
千葉1憲法審査会財務金融委員会安全保障委員会特別委）消費者問題,門山 宏哲かどやま ひろあき3,empty
千葉2経済安全保障担当 内閣府特命担当大臣（科学技術政策　宇宙政策）,小林 鷹之こばやし たかゆき3,https://twitter.com/kobahawk
千葉3内閣官房長官 沖縄基地負担軽減担当 拉致問題担当,松野 博一まつの ひろかず7,https://twitter.com/MatsunoHirokazu
千葉5外務委員会決算行政監視委員会特別委）沖縄・北方問題特別委）北朝鮮による拉致問題,薗浦 健太郎そのうら けんたろう4,https://twitter.com/sonourakentaro
千葉6予算委員会特別委）原子力問題調査,渡辺 博道わたなべ ひろみち7,empty
千葉7憲法審査会予算委員会農林水産委員会特別委）原子力問題調査,齋藤 健さいとう けん4,https://twitter.com/saitou_ken
千葉8文部科学委員会,櫻田 義孝さくらだ よしたか7,https://twitter.com/ysakurada
千葉9予算委員会文部科学委員会国土交通委員会経済産業委員会環境委員会議院運営委員会政治倫理審査会特別委）東日本大震災復興,秋本 真利あきもと まさとし3,https://twitter.com/akimoto_chiba9
千葉10国家基本政策委員会,林 幹雄はやし もとお9,empty
千葉11憲法審査会決算行政監視委員会政治倫理審査会,森 英介もり えいすけ10,empty
千葉12国家基本政策委員会,浜田 靖一はまだ やすかず9,empty
千葉4財務金融委員会懲罰委員会特別委）政治倫理の確立・選挙制度,野田 佳彦のだ よしひこ8,https://twitter.com/NODAYOSHI55
千葉13文部科学委員会,白須賀 貴樹しらすか たかき3,empty
神奈川2懲罰委員会,菅 義偉すが よしひで8,https://twitter.com/sugawitter
神奈川5財務金融委員会特別委）災害対策,坂井 学さかい まなぶ4,https://twitter.com/sakai_manabu
神奈川7財務金融委員会決算行政監視委員会,鈴木 馨祐すずき けいすけ4,https://twitter.com/SuzukiKeisukeMP
神奈川10予算委員会特別委）東日本大震災復興,田中 和徳たなか かずのり8,https://twitter.com/t_kazunori
神奈川11厚生労働委員会,小泉 進次郎こいずみ しんじろう4,empty
神奈川13決算行政監視委員会,甘利 明あまり あきら12,https://twitter.com/Akira_Amari
神奈川14国土交通委員会,赤間 二郎あかま じろう4,empty
神奈川15国家基本政策委員会,河野 太郎こうの たろう8,https://twitter.com/konotarogomame
神奈川16法務委員会,義家 弘介よしいえ ひろゆき3,https://twitter.com/yoshiiehiroyuki
神奈川17デジタル大臣 行政改革担当 内閣府特命担当大臣（規制改革）,牧島 かれんまきしま かれん3■,https://twitter.com/makishimakaren
神奈川18経済再生担当 新しい資本主義担当 新型コロナ対策・健康危機管理担当 全世代型社会保障改革担当 内閣府特命担当大臣（経済財政政策）,山際 大志郎やまぎわ  だいしろう5,https://twitter.com/yamagiwa001
神奈川4厚生労働委員会特別委）災害対策新,早稲田 夕季わせだ ゆき1■,https://twitter.com/waseda_yuki
神奈川6議院運営委員会,青柳 陽一郎あおやぎ よういちろう3,https://twitter.com/aoyagy
神奈川8決算行政監視委員会,江田 憲司えだ けんじ6,https://twitter.com/edaoffice
神奈川9文部科学委員会特別委）北朝鮮による拉致問題,笠 浩史りゅう ひろふみ6,https://twitter.com/hirofumi_ryu
神奈川12内閣委員会特別委）原子力問題調査,阿部 知子あべ ともこ7■,https://twitter.com/abe_tomoko
神奈川1国家基本政策委員会,松本 純まつもと じゅん7,https://twitter.com/junmatsumoto411
山梨1厚生労働委員会特別委）消費者問題,中島 克仁なかじま かつひと3,https://twitter.com/katsunakajima
山梨2東京オリンピック競技大会・東京パラリンピック競技大会担当 ワクチン接種推進担当,堀内 詔子ほりうち のりこ3■,https://twitter.com/genkihoriuchi
比)南関東法務委員会特別委）災害対策特別委）政治倫理の確立・選挙制度特別委）科学技術・イノベーション推進繰,出畑 実でばた みのる1,empty
比)南関東外務委員会国土交通委員会特別委）災害対策,中谷 真一なかたに しんいち3,https://twitter.com/nakatani80
比)南関東国土交通副大臣,中山 展宏なかやま のりひろ3,https://twitter.com/norihiron
比)南関東経済産業委員会特別委）政治倫理の確立・選挙制度特別委）原子力問題調査,星野 剛士ほしの つよし3,https://twitter.com/hossys
比)南関東文部科学委員会安全保障委員会特別委）地方創生,山本 朋広やまもと ともひろ4,https://twitter.com/ty_polepole
比)南関東文部科学委員会特別委）科学技術・イノベーション推進特別委）原子力問題調査特別委）東日本大震災復興元,三谷 英弘みたに ひでひろ2,https://twitter.com/mitani_h
比)南関東厚生労働委員会経済産業委員会特別委）地方創生,上野 宏史うえの ひろし2,https://twitter.com/ueno_hiroshi
比)南関東内閣府大臣政務官内閣委員会特別委）地方創生元,木村 哲也きむら てつや1,https://twitter.com/Kimura_Tetsuya_
比)南関東経済産業委員会,富田 茂之とみた しげゆき8,empty
比)南関東文部科学委員会内閣委員会特別委）消費者問題,古屋 範子ふるや のりこ6■,https://twitter.com/Noriko_Furuya/
比)南関東環境委員会元,生方 幸夫うぶかた ゆきお6,https://twitter.com/ubukatayukio66
比)南関東法務委員会決算行政監視委員会新,中谷 一馬なかたに かずま1,https://twitter.com/kazuma_nakatani
比)南関東安全保障委員会決算行政監視委員会特別委）沖縄・北方問題,篠原 豪しのはら ごう2,https://twitter.com/go_shinohara
比)南関東経済産業委員会特別委）原子力問題調査新,宮川 伸みやがわ しん1,https://twitter.com/Shin1Miyakawa
比)南関東総務委員会特別委）災害対策元,岡島 一正おかじま かずまさ3,https://twitter.com/kazu_okajima
比)南関東憲法審査会予算委員会総務委員会元,奥野 総一郎おくの そういちろう4,https://twitter.com/sokuno2
比)南関東予算委員会内閣委員会特別委）政治倫理の確立・選挙制度,後藤 祐一ごとう ゆういち3,https://twitter.com/yuichi510510
比)南関東憲法審査会文部科学委員会決算行政監視委員会繰,谷田川 元やたがわ はじめ2,https://twitter.com/yatagawahajime
比)南関東総務委員会特別委）科学技術・イノベーション推進,田嶋 要たじま かなめ6,https://twitter.com/kanametajima
比)南関東文部科学委員会特別委）消費者問題特別委）科学技術・イノベーション推進,畑野 君枝はたの きみえ2■,https://twitter.com/hatanokimie
比)南関東国家基本政策委員会,志位 和夫しい かずお9,https://twitter.com/shiikazuo
比)南関東法務委員会特別委）北朝鮮による拉致問題特別委）消費者問題新,串田 誠一くしだ せいいち1,https://twitter.com/KushidaOf
新潟2農林水産委員会特別委）政治倫理の確立・選挙制度,鷲尾 英一郎わしお えいいちろう5,https://twitter.com/washioeiichirou
新潟5国土交通大臣政務官 内閣府大臣政務官 復興大臣政務官国土交通委員会特別委）東日本大震災復興新,泉田 裕彦いずみだ ひろひこ1,https://twitter.com/IzumidaHirohiko
新潟6農林水産委員会,高鳥 修一たかとり しゅういち3,https://twitter.com/takatorishuichi
新潟1厚生労働委員会特別委）沖縄・北方問題,西村 智奈美にしむら ちなみ5■,https://twitter.com/chinami_niigata
新潟3国家基本政策委員会政治倫理審査会,黒岩 宇洋くろいわ たかひろ3,https://twitter.com/kuroiwatakahir1
新潟4文部科学委員会特別委）沖縄・北方問題,菊田 真紀子きくた まきこ5■,https://twitter.com/kikuta_official
富山1総務副大臣,田畑 裕明たばた ひろあき3,https://twitter.com/Tabata_Hiroaki
富山2農林水産委員会特別委）沖縄・北方問題,宮腰 光寛みやこし みつひろ8,empty
富山3総務委員会特別委）東日本大震災復興,橘 慶一郎たちばな けいいちろう4,empty
石川1文部科学委員会特別委）科学技術・イノベーション推進,馳 浩はせ ひろし7,empty
石川2予算委員会外務委員会安全保障委員会国土交通委員会経済産業委員会議院運営委員会政治倫理審査会特別委）北朝鮮による拉致問題,佐々木 紀ささき はじめ3,https://twitter.com/hajime24331
石川3農林水産委員会内閣委員会特別委）消費者問題特別委）原子力問題調査新,西田 昭二にしだ しょうじ1,https://twitter.com/hatibe47
福井1憲法審査会法務委員会,稲田 朋美いなだ ともみ5■,https://twitter.com/dento_to_souzo
福井2議院運営委員会,高木 毅たかぎ つよし7,empty
長野3法務委員会決算行政監視委員会特別委）災害対策,井出 庸生いで ようせい3,https://twitter.com/yousei_ide
長野4厚生労働大臣,後藤 茂之ごとう しげゆき6,empty
長野5農林水産委員会特別委）科学技術・イノベーション推進,宮下 一郎みやした いちろう5,empty
長野1環境委員会特別委）政治倫理の確立・選挙制度,篠原 孝しのはら たかし6,empty
長野2文部科学委員会特別委）北朝鮮による拉致問題元,下条 みつしもじょう みつ4,https://twitter.com/mitsumatsumoto2
比)北陸信越国土交通委員会特別委）政治倫理の確立・選挙制度,山本 拓やまもと たく8,https://twitter.com/yamamoto_taku
比)北陸信越農林水産委員会総務委員会特別委）北朝鮮による拉致問題特別委）原子力問題調査,斎藤 洋明さいとう ひろあき2,https://twitter.com/saito_hiroaki_
比)北陸信越環境副大臣 内閣府副大臣,務台 俊介むたい しゅんすけ3,https://twitter.com/mutaishunsuke
